x:  0.7 , xnext:  0.798
x:  0.791097298197 , xnext:  0.627996979332
x:  0.627996979332 , xnext:  0.887743738471
x:  0.887743738471 , xnext:  0.378688214451
x:  0.378688214451 , xnext:  0.89407711261
x:  0.89407711261 , xnext:  0.359872271404
x:  0.359872271404 , xnext:  0.875384034779
x:  0.875384034779 , xnext:  0.414529940446
x:  0.414529940446 , xnext:  0.922240501895
x:  0.922240501895 , xnext:  0.272509242525
x:  0.272509242525 , xnext:  0.75334223
x:  0.75334223 , xnext:  0.706107315094
x:  0.706107315094 , xnext:  0.788575143726
x:  0.788575143726 , xnext:  0.63355266841
x:  0.63355266841 , xnext:  0.88222200209
x:  0.88222200209 , xnext:  0.39484409625
x:  0.39484409625 , xnext:  0.907980496445
x:  0.907980496445 , xnext:  0.317497275179
x:  0.317497275179 , xnext:  0.823432470645
x:  0.823432470645 , xnext:  0.552487460343
x:  0.552487460343 , xnext:  0.939531252726
x:  0.939531252726 , xnext:  0.215886655935
x:  0.215886655935 , xnext:  0.643262509351
x:  0.643262509351 , xnext:  0.872008242975
x:  0.872008242975 , xnext:  0.424117495204
x:  0.424117495204 , xnext:  0.92811901277
x:  0.92811901277 , xnext:  0.253513621438
x:  0.253513621438 , xnext:  0.719128967697
x:  0.719128967697 , xnext:  0.767533482961
x:  0.767533482961 , xnext:  0.67801817488
x:  0.67801817488 , xnext:  0.829576211768
x:  0.829576211768 , xnext:  0.53724217842
x:  0.53724217842 , xnext:  0.944729476557
x:  0.944729476557 , xnext:  0.19841963219
x:  0.19841963219 , xnext:  0.604387270655
x:  0.604387270655 , xnext:  0.908592531356
x:  0.908592531356 , xnext:  0.315598144617
x:  0.315598144617 , xnext:  0.820784631779
x:  0.820784631779 , xnext:  0.558969436054
x:  0.558969436054 , xnext:  0.936785901324
x:  0.936785901324 , xnext:  0.225028690339
x:  0.225028690339 , xnext:  0.66268495968
x:  0.66268495968 , xnext:  0.849427694797
x:  0.849427694797 , xnext:  0.486021087215
x:  0.486021087215 , xnext:  0.94925744199
x:  0.94925744199 , xnext:  0.183037453103
x:  0.183037453103 , xnext:  0.568232026686
x:  0.568232026686 , xnext:  0.93230868403
x:  0.93230868403 , xnext:  0.239814966506
x:  0.239814966506 , xnext:  0.692754243713
x:  0.692754243713 , xnext:  0.808814045816
x:  0.808814045816 , xnext:  0.587608763406
x:  0.587608763406 , xnext:  0.920833877383
x:  0.920833877383 , xnext:  0.277015621058
x:  0.277015621058 , xnext:  0.761056273641
x:  0.761056273641 , xnext:  0.691028563572
x:  0.691028563572 , xnext:  0.811330734019
x:  0.811330734019 , xnext:  0.58167806141
x:  0.58167806141 , xnext:  0.924649038281
x:  0.924649038281 , xnext:  0.264758138292
x:  0.264758138292 , xnext:  0.739712812701
x:  0.739712812701 , xnext:  0.731643516222
x:  0.731643516222 , xnext:  0.74609686929
x:  0.74609686929 , xnext:  0.719858057517
x:  0.719858057517 , xnext:  0.76631725127
x:  0.76631725127 , xnext:  0.680485462369
x:  0.680485462369 , xnext:  0.826214991919
x:  0.826214991919 , xnext:  0.54561836038
x:  0.54561836038 , xnext:  0.942092067746
x:  0.942092067746 , xnext:  0.207307493818
x:  0.207307493818 , xnext:  0.624458167934
x:  0.624458167934 , xnext:  0.891138624851
x:  0.891138624851 , xnext:  0.36864018937
x:  0.36864018937 , xnext:  0.884429480574
